queue_row_id,address_key,entity_name,primary_ticker,filing_date,form_type,filing_accession,business_street,business_city,business_state,business_zip,current_snapshot_business_street,current_snapshot_fips,current_snapshot_county_name,candidate_fips,candidate_county_name,county_closeout_status,county_closeout_source,county_closeout_confidence,census_matched_address,best_attempt_label,strict_acceptance_status,strict_acceptance_issue,strict_acceptance_note,strict_accepted,production_model_rank_or_dashboard_change
sec_pit_0315,"5424 DELTA AIR LINES, INC. DELAWARE 58-0218548 1030 DELTA BOULEVARD|ATLANTA|GA|30354-1989","DELTA AIR LINES, INC.",DAL,2026-04-08,10-Q,0000027904-26-000022,"5424 DELTA AIR LINES, INC. Delaware 58-0218548 1030 Delta Boulevard",Atlanta,GA,30354-1989,HARTSFIELD-JACKSON ATLANTA INTL AIRPORT 1030 DELTA BOULEVARD,13121,Fulton County,13121,"Fulton County, Georgia",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parser_repair,0.9,"1030 DELTA BLVD, ATLANTA, GA, 30354",parser_repair,accepted_strict_census_same_county,,Accepted report-only SEC auto-reuse county closeout: filing-street Census result matches reviewed current snapshot county FIPS. Street-level source maturity remains blocked.,True,False
sec_pit_0140,550 SOUTH TRYON STREET|CHARLOTTE|NC|28202-1803,Duke Energy CORP,DUK,2019-02-28,10-K,0001326160-19-000057,550 South Tryon Street,Charlotte,NC,28202-1803,525 SOUTH TRYON STREET,37119,Mecklenburg County,37119,"Mecklenburg County, North Carolina",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parsed_original,0.9,"550 S TRYON ST, CHARLOTTE, NC, 28202",parsed_original,accepted_strict_census_same_county,,Accepted report-only SEC auto-reuse county closeout: filing-street Census result matches reviewed current snapshot county FIPS. Street-level source maturity remains blocked.,True,False
sec_pit_0006,1479 NORTH CLINTON AVENUE|BAY SHORE|NY|11706,AIR INDUSTRIES GROUP,AIRI,2008-04-14,10-K,0001193805-08-001100,1479 North Clinton Avenue,Bay Shore,NY,11706,1460 FIFTH AVENUE,36103,Suffolk County,36103,"Suffolk County, New York",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parsed_original,0.9,"1479 N CLINTON AVE, BAY SHORE, NY, 11706",parsed_original,accepted_strict_census_same_county,,Accepted report-only SEC auto-reuse county closeout: filing-street Census result matches reviewed current snapshot county FIPS. Street-level source maturity remains blocked.,True,False
sec_pit_0007,1479 NORTH CLINTON AVENUE|BAY SHORE|NY|11706,AIR INDUSTRIES GROUP,AIRI,2008-04-17,10-K/A,0001193805-08-001135,1479 North Clinton Avenue,Bay Shore,NY,11706,1460 FIFTH AVENUE,36103,Suffolk County,36103,"Suffolk County, New York",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parsed_original,0.9,"1479 N CLINTON AVE, BAY SHORE, NY, 11706",parsed_original,accepted_strict_census_same_county,,Accepted report-only SEC auto-reuse county closeout: filing-street Census result matches reviewed current snapshot county FIPS. Street-level source maturity remains blocked.,True,False
sec_pit_0405,200 POWELL PLACE|BRENTWOOD|TN|37027,TRACTOR SUPPLY CO /DE/,TSCO,2013-05-06,10-Q,0000916365-13-000016,200 Powell Place,Brentwood,TN,37027,5401 VIRGINIA WAY,47187,Williamson County,47187,"Williamson County, Tennessee",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parsed_original,0.9,"200 POWELL PL, BRENTWOOD, TN, 37027",parsed_original,accepted_strict_census_same_county,,Accepted report-only SEC auto-reuse county closeout: filing-street Census result matches reviewed current snapshot county FIPS. Street-level source maturity remains blocked.,True,False
sec_pit_0196,200 POWELL PLACE|BRENTWOOD|TN|37027,TRACTOR SUPPLY CO /DE/,TSCO,2014-02-19,10-K,0000916365-14-000056,200 Powell Place,Brentwood,TN,37027,5401 VIRGINIA WAY,47187,Williamson County,47187,"Williamson County, Tennessee",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parsed_original,0.9,"200 POWELL PL, BRENTWOOD, TN, 37027",parsed_original,accepted_strict_census_same_county,,Accepted report-only SEC auto-reuse county closeout: filing-street Census result matches reviewed current snapshot county FIPS. Street-level source maturity remains blocked.,True,False
sec_pit_0379,43059 DELAWARE 39-3560171 8285 TOURNAMENT DRIVE|MEMPHIS|TN|38125,"FedEx Freight Holding Company, Inc.",FDXF,2026-05-13,8-K,0001104659-26-060223,43059 Delaware 39-3560171 8285 Tournament Drive,Memphis,TN,38125,8525 TOURNAMENT DRIVE,47157,Shelby County,47157,"Shelby County, Tennessee",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parser_repair,0.9,"8285 TOURNAMENT DR, MEMPHIS, TN, 38125",parser_repair,accepted_strict_census_same_county,,Accepted report-only SEC auto-reuse county closeout: filing-street Census result matches reviewed current snapshot county FIPS. Street-level source maturity remains blocked.,True,False
sec_pit_0380,43059 DELAWARE 39-3560171 8285 TOURNAMENT DRIVE|MEMPHIS|TN|38125,"FedEx Freight Holding Company, Inc.",FDXF,2026-05-18,8-K,0001104659-26-063207,43059 Delaware 39-3560171 8285 Tournament Drive,Memphis,TN,38125,8525 TOURNAMENT DRIVE,47157,Shelby County,47157,"Shelby County, Tennessee",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parser_repair,0.9,"8285 TOURNAMENT DR, MEMPHIS, TN, 38125",parser_repair,accepted_strict_census_same_county,,Accepted report-only SEC auto-reuse county closeout: filing-street Census result matches reviewed current snapshot county FIPS. Street-level source maturity remains blocked.,True,False
sec_pit_0285,"700 MILAM STREET, SUITE 800|HOUSTON|TX|77002","Cheniere Energy Partners, L.P.",CQP,2007-05-09,10-Q,0001193125-07-106387,"700 Milam Street, Suite 800",Houston,TX,77002,845 TEXAS AVENUE SUITE 1250,48201,Harris County,48201,"Harris County, Texas",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parsed_original,0.9,"700 MILAM ST, HOUSTON, TX, 77002",parsed_original,accepted_strict_census_same_county,,Accepted report-only SEC auto-reuse county closeout: filing-street Census result matches reviewed current snapshot county FIPS. Street-level source maturity remains blocked.,True,False
sec_pit_0090,"700 MILAM STREET, SUITE 800|HOUSTON|TX|77002","Cheniere Energy Partners, L.P.",CQP,2008-02-27,10-K,0001193125-08-039309,"700 Milam Street, Suite 800",Houston,TX,77002,845 TEXAS AVENUE SUITE 1250,48201,Harris County,48201,"Harris County, Texas",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parsed_original,0.9,"700 MILAM ST, HOUSTON, TX, 77002",parsed_original,accepted_strict_census_same_county,,Accepted report-only SEC auto-reuse county closeout: filing-street Census result matches reviewed current snapshot county FIPS. Street-level source maturity remains blocked.,True,False
sec_pit_0287,"700 MILAM STREET, SUITE 1900|HOUSTON|TX|77002","Cheniere Energy, Inc.",LNG,2015-04-30,10-Q,0000003570-15-000084,"700 Milam Street, Suite 1900",Houston,TX,77002,845 TEXAS AVENUE SUITE 1250,48201,Harris County,48201,"Harris County, Texas",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parsed_original,0.9,"700 MILAM ST, HOUSTON, TX, 77002",parsed_original,accepted_strict_census_same_county,,Accepted report-only SEC auto-reuse county closeout: filing-street Census result matches reviewed current snapshot county FIPS. Street-level source maturity remains blocked.,True,False
